Date,Tweet,Sentiment
2022-03-06 23:59:05,"[produk, hukum, minerba, revisi, sah, korporasi, tambang, ugalugalan]",negative
2022-03-06 23:42:19,"[investor, bangsa, butuh, akselerasi, ekonomi, bangun]",positive
2022-03-06 22:46:04,"[produk, hukum, minerba, revisi, sah, korporasi, tambang, ugal]",negative
2022-03-06 20:34:23,"[produk, hukum, minerba, revisi, sah, korporasi, tambang, ugalugalan, video, direktur, operasional, pt, gema, kreasi, perdana, anak, usaha, harita, group, ancam, warga, tolak, tambang, roko, raya]",negative
2022-03-06 18:09:18,"[trial, error, milu, kardus, gembok, aman, hasil, milu, umum, malam, aman]",negative
2022-03-06 17:18:25,"[sridianava, sabar, rakyat, larang, ngeluh, lapar, ngeluh, bpjs, bbm, listrik, bikin, atur, besok, minyak, lenyap]",negative
2022-03-06 15:05:33,"[hidup, negeri, survei, barang, tinggal, survei, rakyat, puas, kpk, tolak, tinggal, survei, rakyat, tuju, tolak, tinggal, survei, rakyat, tuju, survei, kalah, timnas, kasihan, dibully, minimal, puas, publik, hasil, survei]",negative
2022-03-06 13:49:01,"[produk, hukum, minerba, revisi, sah, korporasi, tambang, ugalugalan, peristiwa, ancam, kamis, maret, pt, gkp, kali, serobot, lahan, milik, warga, tolak, tambang]",negative
2022-03-06 13:42:20,"[konektivitas, global, peluang, kuat, kolaborasi, internasional, dukung]",positive
2022-03-06 13:12:21,"[hilang, pungli, sistem, online, ayo, dukung]",positive
2022-03-06 12:42:16,"[laku, bantu]",positive
2022-03-06 12:12:21,"[wujud, laku, umkm]",positive
2022-03-06 11:51:19,"[buset, bahas, pokok]",negative
2022-03-06 11:42:18,"[maju, ekonomi]",positive
2022-03-06 11:12:30,"[dorong, umkm]",positive
2022-03-06 10:43:55,"[schloss, ah, urus, langsung, bikin, sengsara, sah]",negative
2022-03-06 09:12:21,"[manufaktur]",positive
2022-03-06 08:42:17,"[sih, masyarakat, tolak, maju, bodoh]",negative
2022-03-06 08:12:30,"[mudah, susah]",positive
2022-03-06 08:04:28,"[sridianava, sabar, rakyat, larang, ngeluh, lapar, ngeluh, bpjs, bbm, listrik, bikin, atur, besok, minyak, lenyap, sengaja, alih, isu, ikn, yg, suara, rakyat, buzzer, manusia, gila, jabat, arah, serang, oposisi, lantang, suara]",negative
2022-03-06 07:42:18,"[mudah, mahasiswa, rintis, usaha]",positive
2022-03-06 07:42:02,"[politik, pangan, ubah, utama, upaya, swasembada, revisi, pangan, tempat, impor, strategi, tahan, pangan, impor, pilih]",positive
2022-03-06 07:12:23,"[mudah, laku, umkm]",positive
2022-03-06 06:52:37,"[tanggung, muncul, omnibuslaw, jamin, tua]",positive
2022-03-06 06:42:16,"[untung]",positive
2022-03-06 05:57:00,"[mangkas, birokrasi, mudah, masuk, tanam, modal, investasi, asing, negeri, investasi, tingkat, lapang, daya, beli, masyarakat]",positive
2022-03-06 04:25:18,"[trial, error, milu, kardus, gembok, aman, hasil, milu, umum, malam, aman, aman, ubah, konstitusi, mosok, diam]",negative
2022-03-06 04:12:21,"[jam, atur]",positive
2022-03-06 03:12:22,"[mudah, izin]",positive
2022-03-06 02:50:45,"[mbak, atur, ker]",positive
